0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
200.95183, 201.00946, 200.93321, 200.98311, 201.02030, 200.97801, 200.99941, 201.04356, 201.10486, 201.09702, 201.07991, 201.08372, 201.08987, 201.09984, 201.10919, 201.13672, 201.16493, 201.20775, 201.27704, 201.29606, 201.24317, 201.24207, 201.32814, 201.33507
200.94392, 200.94666, 201.02800, 200.94668, 200.99312, 201.06925, 201.01207, 201.02017, 201.05569, 201.11650, 201.14379, 201.15417, 201.15519, 201.16030, 201.22185, 201.25222, 201.26908, 201.24965, 201.22210, 201.19490, 201.25453, 201.34587, 201.34457, 201.33909
200.90445, 200.90658, 200.95132, 201.02480, 200.96305, 200.98542, 201.06760, 201.09080, 201.03655, 201.05117, 201.05107, 201.06582, 201.12814, 201.13937, 201.15158, 201.15534, 201.14823, 201.16314, 201.22946, 201.32026, 201.33596, 201.29060, 201.27092, 201.34876
200.91059, 200.94418, 200.90570, 200.93524, 201.00494, 201.01666, 200.98272, 201.00014, 201.09288, 201.10778, 201.16030, 201.14724, 201.14327, 201.17998, 201.17175, 201.20320, 201.25361, 201.27919, 201.25819, 201.21398, 201.23565, 201.28054, 201.36423, 201.30273
200.85862, 200.86396, 200.94508, 200.94876, 200.95210, 200.96326, 201.06621, 201.06722, 201.07061, 201.05150, 201.06422, 201.11475, 201.11086, 201.12640, 201.15506, 201.16528, 201.17800, 201.20197, 201.27185, 201.29753, 201.29779, 201.27512, 201.26683, 201.31694
200.95462, 200.94442, 200.88055, 200.92106, 200.99251, 201.03247, 200.99411, 200.99336, 201.02636, 201.08890, 201.10071, 201.16368, 201.19380, 201.22897, 201.22647, 201.25504, 201.23580, 201.22227, 201.18903, 201.22121, 201.27242, 201.33964, 201.32524, 201.35083
200.86667, 200.89199, 200.99125, 201.01756, 200.97712, 200.94387, 200.96917, 201.05073, 201.08386, 201.10139, 201.12932, 201.15858, 201.17946, 201.17282, 201.19330, 201.22649, 201.25924, 201.27672, 201.29180, 201.25802, 201.23321, 201.24179, 201.31354, 201.32231
200.94067, 200.97742, 200.96063, 200.91494, 200.93735, 201.01024, 201.05902, 201.07266, 201.08788, 201.09124, 201.11954, 201.11240, 201.14462, 201.17401, 201.21893, 201.21162, 201.23328, 201.26077, 201.25662, 201.28340, 201.31585, 201.31394, 201.29672, 201.34616
200.89425, 200.87926, 200.90659, 200.96666, 201.01400, 201.02732, 201.06069, 201.05054, 201.08457, 201.09988, 201.11413, 201.11924, 201.14558, 201.13525, 201.16896, 201.19457, 201.22545, 201.24891, 201.28564, 201.31946, 201.32381, 201.33873, 201.33680, 201.31565
200.86964, 200.93694, 200.96374, 200.99557, 201.00698, 201.04051, 201.02763, 201.04167, 201.05115, 201.10432, 201.10508, 201.12876, 201.11390, 201.15990, 201.14811, 201.18959, 201.21069, 201.22080, 201.22621, 201.26700, 201.28406, 201.31672, 201.33464, 201.32013
