0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
202.57684,202.6043,202.59416,202.63562,202.6441,202.70187,202.74151,202.78525,202.77337,202.79713,202.77412,202.77734,202.78317,202.80883,202.80915,202.83255,202.85283,202.85654,202.87491,202.85961,202.85695,202.89854,202.95223,202.96356
202.58042,202.58154,202.61907,202.62256,202.65415,202.67354,202.69939,202.72319,202.7441,202.74347,202.74707,202.74983,202.76915,202.79208,202.79988,202.80994,202.71209,202.80923,202.85303,202.88255,202.8678,202.55443,202.83413,202.89959
202.57382,202.5973,202.6167,202.64677,202.66752,202.65287,202.64312,202.65195,202.66178,202.70011,202.72617,202.73314,202.72573,202.73719,202.75664,202.76861,202.88639,202.82487,202.82075,202.81527,202.84602,203.14702,202.89385,202.87289
202.59398,202.62952,202.63404,202.65202,202.65434,202.67494,202.68916,202.66819,202.692,202.69991,202.6977,202.70027,202.89494,202.73083,202.72724,202.75841,202.7446,202.75878,202.75627,202.82675,202.82056,202.86148,202.83864,202.85918
202.53482,202.60803,202.61739,202.62582,202.63119,202.63807,202.62057,202.64358,202.64312,202.67665,202.68014,202.71902,202.5348,202.70104,202.70968,202.72177,203.09234,202.75404,202.79429,202.74886,202.78087,202.80196,202.82625,202.81887
202.66385,202.62537,202.65223,202.62046,202.59712,202.58479,202.60641,202.62281,202.61247,202.6332,202.67675,202.686,202.724,202.73753,202.74645,202.71865,202.36882,202.71908,202.75316,202.78317,202.78402,202.78545,202.80866,202.83673
202.61068,202.62171,202.62954,202.62876,202.61499,202.60928,202.72701,202.61942,202.66973,202.664,202.64962,202.65708,202.65594,202.69597,202.69119,202.72856,202.72908,202.72701,202.71377,202.73943,202.77462,202.78651,202.74967,202.76367
202.61926,202.61883,202.5289,202.62159,202.64602,202.66666,202.59043,202.66728,202.63788,202.59524,202.62915,202.64496,202.64965,202.62995,202.70154,202.70237,202.7225,202.71086,202.71489,202.71611,202.7209,202.75057,202.78851,202.79417
202.58272,202.60554,202.69157,202.62201,202.61827,202.63419,202.60329,202.64106,202.63706,202.68054,202.65734,202.63981,202.67881,202.72856,202.69125,202.69659,202.70866,202.73868,202.74505,202.73774,202.72563,202.74937,202.75057,202.76793
202.56323,202.58278,202.59235,202.61517,202.62123,202.62695,202.63193,202.63324,202.60305,202.59742,202.61396,202.64637,202.64461,202.66648,202.67829,202.61602,202.69502,202.71888,202.71504,202.74321,202.75007,202.72144,202.74087,202.76047
202.54919,202.55768,202.56825,202.57703,202.5926,202.62267,202.60799,202.5921,202.63658,202.61705,202.62418,202.62626,202.6659,202.67125,202.69605,202.79894,202.70844,202.70032,202.69272,202.70296,202.71171,202.73751,202.74516,202.73089
202.48635,202.50521,202.52432,202.546,202.57908,202.56178,202.59239,202.5734,202.58607,202.59088,202.30394,202.64418,202.65428,202.65798,202.67026,202.64054,202.68019,202.67999,202.69272,202.67217,202.68073,202.69359,202.72616,202.72463
202.45564,202.46508,202.48774,202.49427,202.48863,202.52045,202.52694,202.54958,202.5431,202.57789,202.90612,202.60454,202.59081,202.60218,202.62234,202.63861,202.62099,202.61655,202.63141,202.65673,202.65411,202.65495,202.65512,202.68343
202.43222,202.42746,202.42443,202.45566,202.51166,202.482,202.47604,202.52049,202.552,202.56398,202.5873,202.61297,202.62926,202.61046,202.59821,202.60935,202.63133,202.63235,202.62066,202.62971,202.66697,202.6785,202.68454,202.69192
202.40801,202.41397,202.43,202.43283,202.42772,202.45075,202.48249,202.5259,202.53414,202.58331,202.60868,202.61715,202.64197,202.60976,202.63724,202.60601,202.58544,202.60072,202.63771,202.65129,202.64701,202.68953,202.66826,202.67446
202.41225,202.41837,202.39781,202.3966,202.4056,202.46643,202.513,202.48845,202.5316,202.53162,202.59086,202.57475,202.56448,202.60869,202.56551,202.56859,202.5774,202.61184,202.64299,202.62862,202.6469,202.63186,202.67538,202.65119
202.42979,202.42281,202.43839,202.45344,202.45358,202.45292,202.49384,202.53429,202.55467,202.55839,202.48223,202.51796,202.53013,202.48735,202.51298,202.57431,202.61266,202.6031,202.61751,202.62818,202.64631,202.62405,202.59467,202.6363
202.39653,202.42532,202.45637,202.45898,202.48635,202.49721,202.47248,202.50362,202.51962,202.51697,202.53675,202.43866,202.49427,202.57709,202.57907,202.58271,202.59674,202.61743,202.58771,202.61541,202.57861,202.61479,202.62434,202.63992
202.40371,202.41053,202.40217,202.43792,202.44393,202.44854,202.48492,202.46956,202.43252,202.49679,202.4487,202.54067,202.53692,202.57417,202.56655,202.54232,202.55034,202.58774,202.57183,202.54279,202.56565,202.58092,202.60698,202.61969
202.43502,202.40109,202.36928,202.36458,202.39543,202.40791,202.39688,202.43257,202.44818,202.44205,202.32834,202.46417,202.52013,202.50879,202.54524,202.598,202.53371,202.49716,202.51083,202.53468,202.56605,202.53482,202.53442,202.58065
202.37476,202.42243,202.43787,202.40936,202.37707,202.39092,202.41227,202.40089,202.49055,202.44319,202.65247,202.24739,202.3631,202.47573,202.44657,202.46654,202.52115,202.48334,202.48891,202.51886,202.47153,202.4973,202.54901,202.59497
202.315,202.34322,202.37953,202.37125,202.34384,202.33925,202.36381,202.37303,202.54246,202.36936,202.40336,202.7062,202.53315,202.42829,202.42615,202.44925,202.43261,202.50346,202.49943,202.44689,202.52066,202.57338,202.60793,202.56678
202.27551,202.30443,202.3649,202.35912,202.48892,202.36219,202.30466,202.33615,202.13594,202.34156,202.33114,202.34033,202.34094,202.37316,202.47497,202.41403,202.44166,202.42087,202.44814,202.51292,202.55564,202.53605,202.54094,202.53806
202.27551,202.30443,202.3649,202.35912,202.48892,202.36219,202.30466,202.33615,202.13594,202.34156,202.33114,202.34033,202.34094,202.37316,202.47497,202.41403,202.44166,202.42087,202.44814,202.51292,202.55564,202.53605,202.54094,202.53806
