0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
202.38748,202.49294,202.47762,202.48665,202.61307,202.62795,202.60678,202.71415,202.67202,202.70642,202.68831,202.74674,202.75735,202.75009,202.78965,202.79171,202.81804,202.87181,202.84226,202.92457,202.93329,202.94045,203.05408,
202.38709,202.47805,202.57423,202.43758,202.59908,202.60267,202.60588,202.70372,202.66317,202.68842,202.68851,202.72596,202.7468,202.7828,202.73248,202.79806,202.82651,202.80947,202.84102,202.87335,202.90633,202.93008,203.01331,
202.40649,202.47711,202.48621,202.55646,202.59667,202.55886,202.61274,202.65782,202.678,202.65079,202.67439,202.71782,202.74389,202.7754,202.75628,202.7885,202.78381,202.80307,202.82536,202.83401,202.94849,202.86672,202.97054,
202.44245,202.45451,202.54301,202.5271,202.54264,202.60089,202.59265,202.62085,202.64957,202.63461,202.68282,202.70726,202.76084,202.76407,202.76125,202.75282,202.76599,202.80417,202.81063,202.83852,202.85442,202.86624,202.95617,
202.43237,202.49435,202.52632,202.50752,202.53431,202.59506,202.58972,202.58935,202.62091,202.63187,202.64747,202.79829,202.65047,202.78218,202.77662,202.73533,202.76513,202.77165,202.78818,202.82225,202.83531,202.85511,202.93704,
202.47768,202.52336,202.5174,202.45982,202.57123,202.55071,202.58913,202.59669,202.59007,202.61251,202.63815,202.69339,202.73916,202.77805,202.76869,203.09967,202.39602,202.73964,202.79954,202.80569,202.82845,202.81741,202.9154,
202.46297,202.55139,202.44727,202.4901,202.57464,202.54862,202.57669,202.57063,202.5715,202.61992,202.59594,202.68453,202.7602,202.74615,202.78438,202.74912,202.76045,202.72572,202.76349,202.79446,202.80284,202.79701,202.89666,
202.47119,202.48954,202.45783,202.50119,202.65248,202.64186,202.40806,202.53799,202.56001,202.55955,202.63726,202.67639,202.70833,202.80411,202.73487,202.76327,202.72677,202.74622,202.77107,202.76282,202.76681,202.80471,202.88709,
202.4583,202.54823,202.38923,202.4762,202.54424,202.59919,202.5057,202.55907,202.53773,202.57691,202.59535,202.67582,202.80182,202.68097,202.76169,202.745,202.74595,202.72993,202.70744,202.80214,202.7604,202.80034,202.86454,
202.43107,202.46948,202.44367,202.50692,202.50114,202.54311,202.55664,202.55066,202.51299,202.55014,202.61349,202.69226,202.72529,202.74277,202.74019,202.73982,202.72613,202.73407,202.72825,202.76538,202.74364,202.7776,202.88827,
202.39212,202.42558,202.4806,202.48498,202.51128,202.51793,202.54109,202.54159,202.52276,202.55905,202.61745,202.66834,202.69906,202.75137,202.82039,202.63072,202.73862,202.72461,202.70144,202.77143,202.73362,202.74379,202.87086,
202.35764,202.46113,202.427,202.46225,202.4908,202.52464,202.53742,202.49131,202.54015,202.58502,202.61268,202.66715,202.70008,202.73468,202.70119,202.71831,202.7395,202.71841,202.70973,202.7493,202.71777,202.77452,202.79926,
202.35729,202.4495,202.40088,202.4636,202.48403,202.48933,202.51902,202.51565,202.5383,202.6874,202.51365,202.65991,202.69082,202.71611,202.69795,202.71272,202.71841,202.70576,202.69772,202.74105,202.71677,202.76542,202.79951,
202.33976,202.42728,202.40789,202.42281,202.44592,202.49581,202.48773,202.52643,202.51193,202.58651,202.6508,202.66179,202.69718,202.68091,202.69526,202.69046,202.6897,202.71242,202.69598,202.72712,202.71073,202.7541,202.80636,
202.2987,202.45268,202.37614,202.40022,202.4696,202.42881,202.52042,202.48527,202.55795,202.59723,202.61488,202.67626,202.67059,202.66156,202.69285,202.68741,202.66538,202.70721,202.69689,202.72581,202.70376,202.73629,202.7644,
202.31789,202.44781,202.37537,202.35241,202.44507,202.45715,202.49211,202.52315,202.53124,202.60101,202.59049,202.65865,202.64031,202.6695,202.67834,202.6596,202.69849,202.68632,202.67337,202.73224,202.6707,202.72825,202.75528,
202.33131,202.41786,202.36198,202.36257,202.44762,202.42272,202.48538,202.52679,202.55512,202.53882,202.61301,202.62215,202.62172,202.65852,202.6706,202.6488,202.71017,202.6819,202.66226,202.71348,202.66554,202.70883,202.77271,
202.36062,202.38676,202.38078,202.39647,202.41082,202.43387,202.46967,202.5252,202.52648,202.54801,202.59682,202.57798,202.63396,202.63,202.66474,202.65108,202.684,202.64746,202.68351,202.7102,202.62738,202.70549,202.7468,
