0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
203.54274,203.52123,203.44964,203.4851,203.50225,203.46537,203.43478,203.42468,203.43386,203.44267,203.43358,203.42531,203.41517,203.42319,203.43197,203.42787,203.39412,203.37226,203.36374,203.38006,203.3928,203.41318,203.45731,203.47195,203.50299
203.48954,203.51997,203.51512,203.43809,203.4154,203.44898,203.43203,203.45279,203.39777,203.38774,203.40511,203.40795,203.39814,203.41533,203.39173,203.39003,203.3884,203.41288,203.41229,203.40426,203.37168,203.37563,203.42191,203.44354,203.45187
203.47326,203.43321,203.42995,203.46176,203.4408,203.41629,203.41663,203.42534,203.44609,203.42146,203.41472,203.41903,203.44952,203.42561,203.42256,203.42485,203.43941,203.39134,203.38337,203.3556,203.37816,203.38993,203.34984,203.39404,203.41372
203.48085,203.50693,203.45377,203.40273,203.41655,203.42876,203.43664,203.41906,203.41638,203.42456,203.40611,203.38373,203.38902,203.39121,203.3999,203.39857,203.41863,203.41928,203.3936,203.37836,203.35126,203.34141,203.33858,203.37477,203.42199
203.46336,203.38632,203.42273,203.43938,203.44151,203.42971,203.4006,203.38032,203.39699,203.40783,203.42394,203.43804,203.42792,203.43262,203.40232,203.40476,203.35312,203.36765,203.38343,203.40728,203.38509,203.35221,203.36463,203.33343,203.34581
203.43783,203.46573,203.45,203.47022,203.42914,203.37315,203.39425,203.41661,203.41899,203.4305,203.43037,203.40112,203.38922,203.38526,203.44545,203.40704,203.39269,203.40365,203.3381,203.36025,203.37599,203.3824,203.35886,203.34332,203.34205
203.46531,203.42502,203.41936,203.379,203.39463,203.45134,203.43704,203.4378,203.4377,203.38869,203.36207,203.36795,203.37826,203.35783,203.32892,203.34926,203.39653,203.35291,203.3846,203.34995,203.33997,203.32016,203.34756,203.34785,203.33564
203.39743,203.42452,203.40544,203.41572,203.42898,203.4253,203.4102,203.41518,203.35784,203.37494,203.35874,203.3407,203.33534,203.33329,203.34425,203.33547,203.31282,203.32282,203.34064,203.32382,203.33695,203.33236,203.30552,203.29521,203.29733
203.36725,203.39161,203.39806,203.42565,203.40694,203.39299,203.44395,203.39524,203.40765,203.37429,203.33872,203.35336,203.32181,203.33175,203.31943,203.31943,203.2924,203.30027,203.28751,203.29548,203.30566,203.3202,203.32759,203.32495,203.30232
203.30333,203.29237,203.32167,203.33112,203.35898,203.36055,203.31156,203.35667,203.36819,203.37153,203.38915,203.40564,203.32066,203.32378,203.28005,203.28485,203.28032,203.24866,203.26082,203.27342,203.25838,203.28363,203.2792,203.30506,203.30688
203.20096,203.20675,203.22151,203.22922,203.26547,203.27881,203.28708,203.2877,203.31505,203.33649,203.33656,203.25719,203.29092,203.24617,203.28491,203.25926,203.25269,203.27274,203.25785,203.24272,203.25459,203.23724,203.24094,203.2486,203.25192
203.17548,203.19833,203.17247,203.17391,203.17067,203.1909,203.23765,203.25618,203.2736,203.31287,203.32897,203.34273,203.35449,203.32758,203.26577,203.2805,203.28438,203.27066,203.26088,203.25881,203.24406,203.23815,203.23648,203.21551,203.22046
203.29975,203.25319,203.24083,203.24224,203.22705,203.21212,203.20554,203.20453,203.21417,203.23593,203.27405,203.31035,203.28374,203.29662,203.2674,203.26249,203.25574,203.24437,203.26516,203.2742,203.26974,203.24574,203.24661,203.24191,203.23985
203.28554,203.28505,203.3119,203.25926,203.25923,203.26243,203.22239,203.21953,203.21825,203.19253,203.21295,203.21792,203.26675,203.23363,203.25787,203.24836,203.25255,203.25794,203.26076,203.25953,203.26056,203.25986,203.24164,203.21776,203.18303
203.30307,203.30884,203.30005,203.2807,203.30448,203.26195,203.25472,203.22991,203.18495,203.20245,203.16525,203.19956,203.23396,203.26841,203.25641,203.23218,203.22675,203.23863,203.23254,203.24493,203.20569,203.24633,203.18579,203.19366,203.17747
203.32159,203.2935,203.25878,203.29959,203.25511,203.27239,203.26104,203.24335,203.2201,203.14534,203.16378,203.16489,203.17995,203.21538,203.22882,203.20936,203.24486,203.26171,203.25353,203.22532,203.22461,203.14603,203.16277,203.16127,203.19674
203.25351,203.24263,203.21332,203.19588,203.15333,203.15656,203.1784,203.18052,203.20592,203.22216,203.15368,203.14802,203.17546,203.16948,203.19809,203.23835,203.21717,203.20173,203.1704,203.11179,203.13624,203.16089,203.1814,203.1683,203.14005
