0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
203.39473,203.42261,203.43183,203.39233,203.45706,203.40169,203.45124,203.38908,203.38395,203.39583,203.40833,203.34044,203.36002,203.38552,203.36867,203.33417,203.3496,203.33126,203.29517,203.33368,203.27088,203.34983,203.34649,203.37773,
203.38922,203.43698,203.42093,203.41148,203.40099,203.42218,203.44202,203.3519,203.424,203.40131,203.37008,203.33562,203.35937,203.37941,203.37234,203.31357,203.32767,203.34614,203.29486,203.2956,203.28271,203.2679,203.32294,203.3379,
203.39407,203.47114,203.37404,203.40502,203.4369,203.40138,203.38991,203.37244,203.42127,203.37729,203.3505,203.36166,203.34691,203.35186,203.36689,203.32629,203.33778,203.31433,203.30433,203.27612,203.26826,203.21498,203.34728,203.28185,
203.36904,203.46512,203.40715,203.40216,203.37654,203.41542,203.36841,203.3914,203.4274,203.36558,203.34765,203.33321,203.3403,203.34603,203.35712,203.34093,203.31721,203.29538,203.29488,203.28688,203.24284,203.21336,203.2966,203.25362,
203.38856,203.43277,203.41328,203.38682,203.40009,203.39974,203.34963,203.38942,203.40993,203.39299,203.33203,203.32123,203.32291,203.35151,203.31689,203.34798,203.3037,203.27926,203.29301,203.28671,203.21865,203.2507,203.23087,203.23177,
203.42787,203.3989,203.42066,203.3713,203.39387,203.36959,203.35804,203.41193,203.37284,203.3928,203.3502,203.29849,203.3198,203.33326,203.31212,203.33392,203.29388,203.283,203.26225,203.29367,203.20841,203.24558,203.23363,203.19961,
203.43384,203.38154,203.39102,203.37135,203.37884,203.34843,203.39623,203.3898,203.39008,203.35139,203.33482,203.30382,203.31868,203.31264,203.30395,203.31391,203.29762,203.25537,203.26107,203.27955,203.21976,203.22355,203.26328,203.17482,
203.40803,203.4223,203.34132,203.40053,203.34969,203.3887,203.37483,203.38217,203.36005,203.36498,203.33022,203.30594,203.31468,203.30292,203.28819,203.29155,203.27212,203.28541,203.2237,203.26636,203.22879,203.22009,203.2385,203.20119,
203.35438,203.43675,203.37391,203.38811,203.32637,203.34868,203.37973,203.35629,203.37771,203.35727,203.34325,203.29845,203.3084,203.29548,203.28289,203.27364,203.26287,203.26366,203.24349,203.24363,203.23023,203.18839,203.25486,203.19448,
203.36646,203.4208,203.32046,203.38494,203.33262,203.32606,203.36681,203.37285,203.33415,203.37853,203.34343,203.28827,203.31013,203.29449,203.25868,203.2614,203.24994,203.24329,203.26269,203.22641,203.2169,203.18974,203.2388,203.15866,
203.34618,203.39501,203.35544,203.33393,203.33594,203.35241,203.36077,203.30049,203.315,203.34681,203.4258,203.25292,203.31001,203.29989,203.23838,203.23985,203.23712,203.26256,203.24331,203.22549,203.22938,203.17898,203.20445,203.14311,
203.33996,203.37048,203.31898,203.31712,203.32952,203.35816,203.32828,203.30026,203.30491,203.31824,203.34979,203.34387,203.32693,203.27296,203.21868,203.23723,203.24039,203.22766,203.26012,203.23656,203.22039,203.16078,203.20992,203.12805,
203.34561,203.34978,203.31898,203.29669,203.31748,203.33911,203.32734,203.28091,203.2767,203.2618,203.34259,203.35778,203.32739,203.2604,203.23862,203.21047,203.22315,203.25089,203.25448,203.22128,203.20562,203.1709,203.19486,203.09932,
203.32717,203.34023,203.31449,203.30996,203.30445,203.33803,203.31198,203.29046,203.22661,203.24164,203.28604,203.35359,203.32122,203.24901,203.25869,203.21482,203.20813,203.2696,203.23436,203.21656,203.20996,203.13828,203.1963,203.102,
203.34046,203.34641,203.3169,203.27635,203.30472,203.32281,203.33282,203.24394,203.26304,203.17736,203.22444,203.33753,203.31907,203.28263,203.24909,203.20911,203.21371,203.25098,203.21491,203.22865,203.18206,203.14405,203.18235,203.09645,
203.3687,203.32715,203.31265,203.27952,203.29566,203.31097,203.30365,203.29396,203.21771,203.18525,203.1963,203.26669,203.30114,203.28969,203.25104,203.20532,203.2433,203.23534,203.15894,203.2317,203.17896,203.14268,203.13521,203.14807,
203.37834,203.31267,203.26769,203.26891,203.31927,203.27811,203.32108,203.28117,203.25495,203.16961,203.18385,203.22489,203.27056,203.27596,203.24369,203.24009,203.22264,203.21779,203.15646,203.22206,203.1332,203.15268,203.13917,203.10412,
203.34909,203.31475,203.27816,203.26211,203.29833,203.27145,203.30543,203.27449,203.25325,203.19996,203.18901,203.21355,203.22269,203.23118,203.27764,203.21896,203.22067,203.16377,203.14716,203.23788,203.10268,203.15913,203.11753,203.08829,
203.2994,203.30568,203.30401,203.23698,203.3303,203.28581,203.27441,203.27601,203.22914,203.18677,203.19992,203.20383,203.20862,203.21823,203.24123,203.23933,203.17332,203.15356,203.17593,203.1854,203.1185,203.11962,203.12728,203.08809,
203.2811,203.29502,203.27265,203.282,203.28568,203.2938,203.28945,203.24855,203.24523,203.18363,203.1723,203.20673,203.19233,203.18133,203.24596,203.20531,203.17581,203.14492,203.1671,203.13325,203.16968,203.07819,203.15471,203.08823,
203.23722,203.27977,203.26565,203.29607,203.28584,203.27762,203.28171,203.24138,203.23011,203.17542,203.1739,203.17795,203.2045,203.19743,203.19534,203.20109,203.1143,203.16057,203.14974,203.1595,203.12623,203.09895,203.11756,203.11713,
203.20395,203.26107,203.23669,203.32026,203.32081,203.26539,203.28126,203.21473,203.20235,203.16316,203.1657,203.15572,203.20478,203.19379,203.17952,203.15258,203.13255,203.15948,203.10871,203.1669,203.11029,203.11831,203.10745,203.11652,
203.17715,203.23704,203.24343,203.28041,203.32493,203.28499,203.24835,203.16782,203.17242,203.19299,203.16314,203.16675,203.17954,203.18908,203.15773,203.12292,203.14995,203.12639,203.06684,203.17282,203.11206,203.13124,203.11813,203.11189,
203.12909,203.25574,203.22869,203.24419,203.31781,203.27689,203.21341,203.21342,203.12331,203.17711,203.14812,203.15723,203.17607,203.17836,203.15034,203.117,203.13803,203.07464,203.11638,203.14378,203.10501,203.11464,203.17522,203.12054,
203.08104,203.27444,203.21394,203.20798,203.31068,203.2688,203.17848,203.25902,203.0742,203.16122,203.1331,203.14772,203.17261,203.16767,203.14297,203.11107,203.12612,203.02291,203.16593,203.11474,203.09796,203.09804,203.23231,203.12919,
