0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
203.39864,203.21284,203.01553,202.95587,202.85445,202.71832,202.63416,202.5739,202.42516,202.36006,202.2931,202.15927,202.02428,201.97619,201.87176,201.74365,201.68334,201.56974,201.45663,201.35259,201.26777,201.10715,201.03218,
203.33992,203.12637,203.00396,202.91556,202.82253,202.69281,202.64254,202.56847,202.40021,202.39915,202.26515,202.13361,202.01771,201.9608,201.86498,201.71743,201.63806,201.58913,201.44388,201.34949,201.27286,201.15379,200.99389,
203.22401,203.10395,203.01418,202.89601,202.80667,202.66138,202.67831,202.48102,202.45903,202.35022,202.24448,202.12891,202.00673,201.94693,201.84303,201.75722,201.59413,201.54788,201.46882,201.31206,201.28876,201.10402,201.01755,
203.24391,203.04791,202.96342,202.8902,202.78367,202.7223,202.62138,202.47671,202.43603,202.35562,202.22528,202.10073,201.97384,201.94435,201.83709,201.73804,201.62529,201.52882,201.42454,201.27393,201.26683,201.12066,201.09339,
203.1616,203.07131,202.93973,202.87984,202.78434,202.7276,202.53478,202.52587,202.42081,202.33438,202.20388,202.09673,201.99724,201.9024,201.81529,201.74002,201.60095,201.50075,201.39619,201.3252,201.22835,201.09272,201.05577,
203.14067,203.03539,202.95185,202.83424,202.79883,202.66836,202.57701,202.49106,202.43083,202.30872,202.18655,202.09036,201.97408,201.90581,201.81156,201.69451,201.61536,201.50351,201.36216,201.31939,201.19242,201.11812,201.00231,
203.10535,203.00328,202.96992,202.81146,202.79839,202.63497,202.57542,202.5082,202.40086,202.26753,202.18287,202.06665,201.9809,201.89505,201.77624,201.68055,201.61235,201.5184,201.33491,201.29464,201.18355,201.0879,200.97596,
203.08482,203.00397,202.94259,202.83194,202.77408,202.61483,202.56963,202.5087,202.35334,202.25977,202.16816,202.07462,201.96983,201.86834,201.75908,201.66382,201.59995,201.48404,201.35076,201.27216,201.20228,201.06313,200.96807,
203.13576,202.97282,202.90126,202.83224,202.72666,202.62394,202.55774,202.24411,202.585,202.22677,202.16199,202.0597,201.95408,201.85512,201.77899,201.63169,201.58001,201.47794,201.34723,201.23951,201.21238,201.03943,200.94778,
203.10174,202.98278,202.86038,202.83214,202.6816,202.63905,202.57163,202.42417,202.3396,202.22692,202.17824,202.03686,201.94081,201.82413,201.74853,201.65281,201.55373,201.45582,201.35926,201.20913,201.45385,200.73969,200.97986,
203.07077,202.95913,202.85512,202.85478,202.65973,202.61721,202.56866,202.3911,202.33225,202.19738,202.14864,202.03766,201.92232,201.84815,201.72166,201.63778,201.53134,201.44201,201.37025,201.19713,201.18736,200.97203,200.94589,
203.08405,202.9538,202.8254,202.82973,202.62518,202.6338,202.52241,202.40789,202.30075,202.21955,202.14589,202.00958,201.91103,201.8225,201.70331,201.61515,201.50599,201.44226,201.34721,201.21284,201.10125,201.02288,200.97947,
203.06566,202.93477,202.82267,202.80598,202.61257,202.60969,202.5214,202.39843,202.27308,202.19735,202.11589,202.00678,201.89443,201.80768,201.69737,201.57153,201.52752,201.426,201.31854,201.20377,201.14021,200.99903,200.92994,
203.02622,202.93526,202.80149,202.79368,202.64956,202.54745,202.48402,202.40249,202.27418,202.19261,202.08581,201.99197,201.87858,201.7884,201.68595,201.57496,201.48736,201.41846,201.29575,201.19457,201.13442,201.0026,200.92228,
203.00788,202.88153,202.83216,202.74272,202.64502,202.53508,202.44256,202.39839,202.28032,202.17645,202.082,201.97374,201.85406,201.75826,201.68139,201.56098,201.49325,201.40692,201.28908,201.15053,201.11418,200.97312,200.94735,
203.01221,202.87907,202.83914,202.67561,202.67141,202.50355,202.46129,202.3782,202.25275,202.15784,202.04945,201.97753,201.84299,201.75762,201.65392,201.55848,201.44408,201.40254,201.24371,201.16591,201.08924,201.02749,200.87099,
202.99043,202.87931,202.81801,202.6495,202.65411,202.48346,202.44986,202.35864,202.25622,202.1467,202.06336,201.92418,201.82805,201.73897,201.67273,201.53294,201.47445,201.34269,201.22415,201.20948,201.04186,200.99969,200.88411,
202.95537,202.93303,202.77988,202.69498,202.57992,202.49761,202.38062,202.36164,202.2439,202.12139,202.03933,201.91014,201.84133,201.73187,201.63633,201.55279,201.42331,201.34211,201.22763,201.15767,201.0706,200.99491,200.88389,
202.98696,202.90229,202.72408,202.72287,202.555,202.52034,202.34957,202.31471,202.21114,202.14425,202.04116,201.89382,201.79938,201.706,201.66305,201.49909,201.4161,201.30903,201.25849,201.14852,201.05928,200.96015,200.90903,
202.98377,202.83531,202.77524,202.70374,202.54053,202.49482,202.38594,202.27249,202.21228,202.1033,202.00727,201.88654,201.78077,201.73773,201.62061,201.50934,201.42307,201.28954,201.21692,201.13431,201.05298,200.98195,200.82422,
