0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
200.53037,200.54333,200.57733,200.5479,200.60095,200.54467,200.54225,200.62163,200.60835,200.54253,200.52591,200.5382,200.51312,200.52446,200.50878,200.54526,200.54452,200.58641,200.62451,200.59059,200.56115,200.53907,200.55878,200.59785,200.56994
200.50249,200.49477,200.55036,200.53693,200.57794,200.61748,200.55546,200.47749,200.51863,200.55616,200.60019,200.61243,200.60274,200.60781,200.62286,200.59757,200.61023,200.58945,200.51353,200.51773,200.59274,200.63047,200.55643,200.50979,200.50942
200.5236,200.51783,200.54527,200.60483,200.55041,200.49471,200.58582,200.63043,200.5783,200.58436,200.51856,200.4898,200.51352,200.49367,200.49611,200.50964,200.5199,200.54876,200.59745,200.60097,200.55728,200.52095,200.57621,200.61741,200.57553
200.52992,200.55236,200.56589,200.52188,200.56309,200.62719,200.5737,200.54082,200.52269,200.50924,200.59202,200.60737,200.57178,200.60114,200.60001,200.59594,200.53416,200.54911,200.51378,200.55257,200.58098,200.58898,200.56592,200.51848,200.54946
200.57657,200.57189,200.58057,200.63387,200.62514,200.55974,200.53211,200.56336,200.60665,200.63563,200.58709,200.59681,200.62017,200.60681,200.62942,200.59488,200.64547,200.6048,200.61782,200.57659,200.55119,200.59889,200.61913,200.63583,200.61184
200.59226,200.61514,200.63469,200.58556,200.55041,200.55104,200.61662,200.62215,200.60809,200.59529,200.6075,200.59926,200.59261,200.61766,200.59462,200.61428,200.61242,200.61933,200.64304,200.62692,200.61587,200.54924,200.5907,200.60929,200.62334
200.58848,200.59551,200.53422,200.58216,200.60922,200.64198,200.62976,200.62135,200.61307,200.59299,200.60157,200.59468,200.58839,200.59981,200.60657,200.61778,200.60814,200.61839,200.58647,200.62974,200.64151,200.63551,200.59446,200.57828,200.60059
200.60407,200.59535,200.63683,200.62622,200.64196,200.66968,200.63954,200.63795,200.65853,200.65461,200.63892,200.63431,200.63908,200.61432,200.61307,200.60486,200.62528,200.63837,200.65417,200.64456,200.64694,200.65632,200.65594,200.65604,200.61618
200.67549,200.67228,200.66494,200.66341,200.64537,200.61389,200.62706,200.64,200.62399,200.63672,200.63528,200.66612,200.65969,200.67435,200.66348,200.65098,200.6705,200.64053,200.6237,200.65292,200.63028,200.66523,200.66266,200.67524,200.65427
200.63082,200.62767,200.63192,200.62054,200.62107,200.6356,200.63057,200.6251,200.63532,200.64443,200.65437,200.65085,200.65205,200.6399,200.66607,200.67113,200.66159,200.65666,200.66404,200.62602,200.64931,200.62193,200.64119,200.6082,200.66047
