0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
200.49231,200.35684,200.32034,200.43478,200.46716,200.5004,200.59384,200.62583,200.65236,200.69081,200.7345,200.7437,200.83593,200.84862,200.87799,200.91175,200.98031,200.98897,201.01291,201.05013,201.06734,201.09051,201.13359,201.1794,
200.48965,200.32924,200.31513,200.47458,200.43635,200.51965,200.57902,200.64445,200.64739,200.69464,200.74756,200.75001,200.82168,200.88737,200.83717,200.9003,200.97217,200.97432,201.03003,201.05004,201.11666,201.11662,201.16911,201.10754,
200.38034,200.3373,200.3525,200.44163,200.4901,200.52788,200.60514,200.61551,200.65511,200.70175,200.72054,200.78729,200.80901,200.87559,200.87405,200.87254,200.97623,200.9796,201.01469,201.05546,201.07314,201.17473,201.13353,201.14536,
200.41867,200.29314,200.39664,200.43782,200.50785,200.51672,200.60332,200.61843,200.63585,200.71178,200.74223,200.75903,200.82496,200.87246,200.86287,200.88212,200.97087,200.97917,201.04853,200.99605,201.10689,201.16915,201.16147,201.16884,
200.40729,200.37617,200.41676,200.44277,200.49706,200.52285,200.58355,200.61747,200.62601,200.70219,200.75577,200.75801,200.83723,200.86948,200.86408,200.88201,200.97156,200.98992,201.02522,201.03851,201.05921,201.11971,201.16341,201.18373,
200.44833,200.34382,200.43935,200.45667,200.46103,200.53266,200.57957,200.59598,200.65613,200.70236,200.73655,200.76583,200.8502,200.86104,200.87505,200.90689,200.95075,200.99009,201.02507,201.04617,201.08622,201.07898,201.15491,201.16166,
200.45332,200.39527,200.42028,200.454,200.46817,200.53073,200.56467,200.60111,200.64216,200.72019,200.71907,200.7817,200.80315,200.8964,200.86701,200.89126,200.97803,200.96756,201.02736,201.07264,201.04828,201.09003,201.20136,201.1377,
200.49214,200.42691,200.37571,200.39945,200.53391,200.49233,200.55605,200.63194,200.61941,200.70655,200.74704,200.78176,200.84842,200.86889,200.87401,200.91464,200.94365,200.98598,201.00958,201.06738,201.08808,201.05573,201.2099,201.11273,
200.47595,200.42119,200.41779,200.4007,200.51464,200.4773,200.58893,200.59461,200.66309,200.68518,200.74801,200.76972,200.82489,200.91211,200.87799,200.93355,200.9523,200.9773,200.98285,201.04903,201.08365,201.07698,201.15399,201.18219,
200.51843,200.402,200.3813,200.40564,200.5061,200.47932,200.58965,200.59699,200.66146,200.67717,200.73071,200.81134,200.85248,200.86865,200.88467,200.9357,200.95425,200.96006,200.98731,201.04822,201.10498,201.07529,201.13285,201.15692,
200.57481,200.38082,200.41098,200.39866,200.49706,200.4863,200.56646,200.60996,200.63788,200.70209,200.73273,200.79352,200.84848,200.88791,200.85669,200.95629,200.96181,200.95502,200.98987,201.02477,201.12,201.06045,201.16913,201.16437,
200.55536,200.37007,200.43968,200.40802,200.45935,200.49324,200.58294,200.59377,200.65324,200.68141,200.77771,200.76578,200.82389,200.89954,200.89631,200.90189,200.96445,200.98244,200.98519,201.05941,201.1014,201.06635,201.14247,201.18262,
200.53996,200.37672,200.42689,200.41307,200.44872,200.52102,200.56847,200.62411,200.61659,200.68061,200.75995,200.79015,200.84892,200.82733,200.93081,200.91194,200.95223,200.97682,200.98634,201.04925,201.0799,201.11842,201.10463,201.23092,
200.54548,200.36028,200.46229,200.37712,200.49174,200.47163,200.56942,200.62511,200.6367,200.67379,200.75142,200.78425,200.84152,200.89201,200.86797,200.89968,200.95136,200.97893,200.97993,201.03714,201.13437,201.04884,201.18092,201.1821,
200.59739,200.39527,200.41887,200.41487,200.47567,200.46339,200.55693,200.65353,200.62545,200.68003,200.73733,200.77306,200.8239,200.85089,200.88208,200.91672,200.9684,200.97663,200.962,201.073,201.08717,201.08135,201.16397,201.16647,
200.5771,200.41251,200.40753,200.41408,200.49685,200.46665,200.57279,200.62906,200.61365,200.67845,200.7233,200.78728,200.80399,200.8545,200.87144,200.9209,200.94792,200.97383,200.98931,201.07258,201.11096,201.03821,201.19575,201.16945,
200.58948,200.44413,200.35204,200.42932,200.50077,200.49235,200.53983,200.622,200.62877,200.65927,200.74508,200.76976,200.77076,200.86774,200.86969,200.92955,200.92922,200.97741,200.98912,201.08004,201.07221,201.09435,201.14096,201.20207,
200.61876,200.42754,200.38389,200.48907,200.43081,200.53067,200.51742,200.62575,200.61884,200.68316,200.74085,200.72982,200.79756,200.85032,200.86971,200.91223,200.96056,200.93267,201.02108,201.11581,201.01649,201.10905,201.13151,201.22992,
200.58893,200.36935,200.49147,200.46328,200.45103,200.50552,200.52811,200.59625,200.63267,200.69149,200.72511,200.75091,200.76446,200.84345,200.86733,200.91946,200.93478,200.9862,201.02252,201.0417,201.05713,201.12678,201.08632,201.23494,
200.61025,200.45365,200.43827,200.43519,200.46199,200.5157,200.56892,200.56611,200.62395,200.68287,200.74076,200.75167,200.77724,200.80925,200.86618,200.89928,200.95593,200.98071,200.99532,201.02819,201.08807,201.11163,201.11529,201.2081,
200.61224,200.42994,200.42503,200.44357,200.51057,200.46052,200.59685,200.59277,200.60824,200.69148,200.7199,200.74258,200.77758,200.82083,200.8679,200.88543,200.97298,200.96792,200.97744,201.11393,201.02807,201.07084,201.17389,201.17997,
200.69997,200.38509,200.39303,200.52864,200.46686,200.54355,200.54659,200.57855,200.60306,200.68807,200.73247,200.7436,200.7749,200.8203,200.84799,200.88658,200.99952,200.91633,200.96699,201.10734,201.06882,201.07315,201.11942,201.24756,
200.69516,200.51826,200.36183,200.43519,200.51385,200.55468,200.53165,200.61903,200.60722,200.65064,200.73141,200.73176,200.79951,200.78346,200.84472,200.91669,200.96307,200.94508,200.98917,201.06904,201.06637,201.09423,201.16339,201.23454,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,0.95442,,,,,,,,,,,,,,,,,,,,,,
