0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
201.16876,201.09788,201.12363,201.14562,201.1954,201.26586,201.24085,201.21919,201.24445,201.29243,201.2086,201.24643,201.26399,201.21866,201.20894,201.24009,201.27086,201.29222,201.29337,201.22706,201.1678,201.09729,201.0703,201.15001,201.08778
201.07988,201.13052,201.21078,201.21137,201.2308,201.28312,201.24879,201.27645,201.19801,201.16793,201.20233,201.2105,201.15292,201.21112,201.23015,201.21966,201.25501,201.24364,201.21972,201.24827,201.25192,201.24543,201.15019,201.04456,201.04707
201.1861,201.27196,201.26413,201.33523,201.30049,201.27678,201.23752,201.22287,201.30178,201.2977,201.28153,201.29165,201.35022,201.32925,201.25665,201.30207,201.24452,201.26267,201.31933,201.38163,201.31307,201.26196,201.23392,201.24348,201.18431
201.26667,201.2714,201.2999,201.27501,201.32153,201.30768,201.32035,201.32346,201.2956,201.28029,201.25449,201.26469,201.25141,201.24775,201.29499,201.30085,201.33379,201.31638,201.28823,201.25741,201.32746,201.39222,201.39633,201.27425,201.26017
201.34064,201.30227,201.30315,201.3391,201.29276,201.27868,201.26934,201.26268,201.2922,201.3143,201.34829,201.31878,201.3058,201.28263,201.31223,201.29348,201.27254,201.30272,201.32915,201.32658,201.32758,201.27513,201.3147,201.30724,201.32751
201.28802,201.381,201.35799,201.32622,201.31465,201.29666,201.34685,201.36422,201.36466,201.38333,201.35288,201.37413,201.37308,201.36245,201.35876,201.38472,201.37367,201.31747,201.3241,201.34891,201.3556,201.39541,201.34941,201.3625,201.37587
201.41545,201.35251,201.35744,201.34097,201.37191,201.41681,201.43508,201.41118,201.38605,201.35992,201.3975,201.39155,201.4159,201.392,201.37468,201.36844,201.3832,201.39771,201.39199,201.37221,201.35894,201.38218,201.40771,201.40062,201.40908
201.35399,201.36423,201.37852,201.43704,201.40194,201.38714,201.36418,201.37914,201.38702,201.37538,201.3772,201.36043,201.37428,201.40628,201.38941,201.38373,201.39588,201.40449,201.4158,201.43107,201.41661,201.37875,201.3729,201.41697,201.42142
201.39896,201.41263,201.44118,201.38739,201.4147,201.39308,201.39386,201.39754,201.36247,201.38656,201.39544,201.40772,201.37673,201.43604,201.39511,201.38663,201.40004,201.42393,201.41776,201.39748,201.39205,201.41008,201.40525,201.38244,201.37314
201.45018,201.44327,201.44102,201.44044,201.42572,201.45018,201.43905,201.44567,201.44621,201.42879,201.43532,201.44912,201.45861,201.38295,201.45124,201.456,201.45114,201.42265,201.4284,201.43446,201.44467,201.44364,201.48246,201.43335,201.45498
201.46768,201.46404,201.43815,201.44161,201.4469,201.48025,201.46417,201.45229,201.46926,201.49781,201.48556,201.47033,201.44402,201.50178,201.48512,201.46156,201.43613,201.44705,201.4473,201.45364,201.4735,201.45265,201.44492,201.4519,201.45907
201.42775,201.41503,201.42656,201.45851,201.46419,201.4389,201.4656,201.4879,201.4932,201.47647,201.49024,201.50627,201.52198,201.45788,201.46147,201.49526,201.50561,201.51134,201.46712,201.46567,201.4473,201.44477,201.42021,201.44848,201.45203
201.49145,201.47671,201.49753,201.47618,201.47387,201.49189,201.50484,201.48672,201.48286,201.51799,201.5187,201.48567,201.49793,201.52653,201.52037,201.47838,201.48019,201.48113,201.49377,201.48619,201.47091,201.51395,201.49654,201.48356,201.49657
201.52977,201.56594,201.53807,201.52942,201.54627,201.50739,201.51979,201.52709,201.5329,201.50976,201.50498,201.56369,201.55403,201.53581,201.52475,201.54804,201.53753,201.51042,201.544,201.53266,201.53634,201.50622,201.5117,201.49154,201.5041
201.51875,201.51856,201.52508,201.53304,201.53453,201.54748,201.51721,201.52215,201.53288,201.55023,201.56613,201.51411,201.52937,201.53658,201.54773,201.52481,201.54518,201.56443,201.53644,201.50174,201.53059,201.52797,201.5204,201.51715,201.47098
201.50638,201.49825,201.53258,201.55413,201.5411,201.5347,201.54284,201.55754,201.52778,201.51855,201.51496,201.56242,201.53828,201.54219,201.53017,201.5446,201.52995,201.51882,201.52445,201.5426,201.52275,201.48756,201.4883,201.50792,201.53421
201.57483,201.56652,201.53317,201.50932,201.56862,201.59301,201.58201,201.56256,201.57858,201.5912,201.56958,201.54951,201.56602,201.58272,201.56483,201.59212,201.58536,201.5879,201.55563,201.54362,201.54299,201.56911,201.58559,201.57052,201.55243
201.60437,201.65435,201.6037,201.60532,201.5374,201.55475,201.60144,201.6016,201.62353,201.59982,201.62198,201.60049,201.59803,201.58676,201.60715,201.56167,201.56801,201.56721,201.5728,201.58244,201.56689,201.57279,201.52374,201.56896,201.58709
201.63316,201.56557,201.59304,201.63833,201.62842,201.59392,201.53688,201.56091,201.58427,201.60234,201.58957,201.632,201.62272,201.59672,201.58223,201.58043,201.55824,201.56645,201.56189,201.591,201.58296,201.5581,201.58937,201.58462,201.59118
201.59691,201.65761,201.62809,201.55967,201.6157,201.66332,201.64959,201.63367,201.56707,201.56743,201.5619,201.53208,201.54238,201.55614,201.57643,201.62176,201.5996,201.61833,201.60583,201.55046,201.57257,201.61122,201.60835,201.62424,201.60627
201.65252,201.52593,201.66517,201.70621,201.67824,201.60587,201.61064,201.64072,201.67602,201.68775,201.70089,201.68625,201.68842,201.67345,201.65786,201.60656,201.62724,201.6037,201.63615,201.6452,201.62686,201.62103,201.63597,201.57821,201.58976
201.68579,201.79761,201.7173,201.69484,201.66345,201.697,201.73104,201.67862,201.66822,201.61875,201.62015,201.62814,201.59581,201.62143,201.6074,201.64788,201.64701,201.66138,201.63418,201.63808,201.65331,201.66268,201.64286,201.67564,201.69684
