0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
201.34918,201.24051,201.29252,201.33008,201.3176,201.33023,201.34606,201.3255,201.32894,201.32673,201.37096,201.34196,201.29396,201.36994,201.36783,201.3651,201.37321,201.36197,201.36214,201.34618,201.32789,201.20845,201.23172,201.88941,
201.31886,201.34327,201.28528,201.35364,201.36391,201.31118,201.38478,201.29105,201.38869,201.33445,201.35756,201.36154,201.31591,201.37287,201.40028,201.30876,201.39028,201.37748,201.38822,201.37662,201.3993,201.24974,201.19614,201.92046,
201.31125,201.40585,201.32318,201.35656,201.34888,201.37649,201.30367,201.36571,201.4048,201.34692,201.32848,201.3855,201.33783,201.38832,201.39024,201.34122,201.40208,201.38829,201.35837,201.42279,201.36765,201.36881,201.30417,201.84247,
201.34777,201.34588,201.37586,201.35763,201.37443,201.358,201.34097,201.3809,201.38347,201.36514,201.40084,201.33529,201.35085,201.39613,201.39581,201.40799,201.34329,201.44351,201.31017,201.46022,201.4017,201.45964,201.30088,201.88344,
201.401,201.4018,201.35816,201.34157,201.41495,201.33692,201.34557,201.37743,201.42299,201.39386,201.35005,201.40659,201.3475,201.42019,201.40189,201.40479,201.3441,201.43974,201.37107,201.40192,201.42071,201.42207,201.39451,201.95245,
201.42542,201.40696,201.35369,201.38463,201.38637,201.35635,201.35187,201.39571,201.405,201.41267,201.39944,201.39738,201.34523,201.43362,201.40853,201.42958,201.41732,201.38796,201.38009,201.39338,201.48484,201.3896,201.44427,201.96215,
201.40959,201.43202,201.33567,201.40456,201.3703,201.36495,201.40285,201.41571,201.40243,201.38661,201.45441,201.37299,201.38941,201.4256,201.42253,201.42034,201.47801,201.35898,201.38672,201.44055,201.43674,201.40323,201.48885,201.88441,
201.40255,201.41714,201.36746,201.38541,201.37032,201.39363,201.41281,201.41906,201.42229,201.39642,201.44989,201.39741,201.43393,201.43616,201.37313,201.45935,201.44847,201.40972,201.40673,201.49973,201.34515,201.4621,201.45603,201.90735,
201.43386,201.39013,201.41168,201.38352,201.39362,201.38204,201.43908,201.41459,201.42289,201.43208,201.43875,201.43173,201.42586,201.45798,201.41653,201.43914,201.42694,201.49955,201.37881,201.42151,201.4524,201.4487,201.41889,201.85153,
201.45738,201.37417,201.46132,201.34531,201.40487,201.44891,201.42199,201.42521,201.435,201.42641,201.45747,201.45711,201.41955,201.46302,201.43574,201.43991,201.4505,201.4869,201.436,201.40244,201.43609,201.48197,201.394,201.83841,
201.51212,201.39129,201.42022,201.37406,201.4168,201.43377,201.45932,201.43168,201.44862,201.44529,201.46603,201.46261,201.47666,201.42285,201.47663,201.40789,201.48084,201.50046,201.43476,201.41861,201.42583,201.48065,201.45494,201.85368,
201.49997,201.40149,201.45927,201.36344,201.43699,201.4514,201.46544,201.42165,201.4651,201.47131,201.48119,201.45579,201.49943,201.43557,201.48432,201.44456,201.47151,201.50873,201.4337,201.42228,201.47582,201.43236,201.48956,201.84987,
201.4953,201.43487,201.43658,201.38049,201.45906,201.4526,201.4704,201.47155,201.42723,201.49363,201.45702,201.53326,201.44436,201.5031,201.45218,201.46285,201.48408,201.49277,201.47452,201.4254,201.48633,201.4369,201.48678,201.84629,
201.50501,201.4236,201.45865,201.37866,201.48992,201.49402,201.42049,201.48844,201.45514,201.48468,201.47399,201.53145,201.47854,201.46819,201.4906,201.46098,201.51171,201.52267,201.44505,201.45491,201.43655,201.49871,201.46127,201.81921,
201.5042,201.42179,201.50158,201.35489,201.48538,201.49032,201.49109,201.4591,201.50245,201.46447,201.54219,201.44882,201.50996,201.51753,201.43969,201.4921,201.525,201.52471,201.43845,201.47684,201.50792,201.4595,201.47632,201.78633,
201.49479,201.44597,201.50372,201.43388,201.4487,201.50165,201.49062,201.47989,201.50167,201.48771,201.50109,201.49866,201.49828,201.48155,201.50843,201.48668,201.52311,201.51989,201.46954,201.51267,201.4448,201.53837,201.46696,201.81413,
201.49741,201.47745,201.49318,201.48452,201.43947,201.4706,201.49182,201.54249,201.47433,201.50462,201.51518,201.51753,201.46992,201.52442,201.49912,201.51124,201.5285,201.56577,201.45309,201.54077,201.42371,201.57073,201.46647,201.80232,
201.50418,201.52453,201.44552,201.5278,201.45172,201.48928,201.50595,201.5476,201.49925,201.5057,201.49418,201.53295,201.50332,201.51429,201.51835,201.5242,201.52708,201.52327,201.48082,201.56436,201.43915,201.5397,201.53501,201.8323,
201.52094,201.5626,201.45564,201.52017,201.51041,201.46536,201.51981,201.52631,201.54485,201.48897,201.51727,201.51617,201.51833,201.562,201.52397,201.52003,201.58711,201.44387,201.55213,201.52039,201.55334,201.45059,201.46531,201.90694,
201.57649,201.5064,201.52742,201.49756,201.54007,201.48919,201.50196,201.56247,201.52382,201.54064,201.52377,201.51675,201.51355,201.54869,201.55028,201.55115,201.50641,201.51547,201.56521,201.49167,201.54066,201.52003,201.55726,201.86144,
201.58142,201.51616,201.5743,201.45527,201.59883,201.5232,201.49528,201.54965,201.54964,201.56036,201.51933,201.5301,201.51397,201.5496,201.56328,201.56296,201.51837,201.55595,201.50378,201.49933,201.62838,201.52035,201.49395,201.85511,
201.6371,201.49143,201.51049,201.57836,201.52099,201.59804,201.50594,201.51781,201.5863,201.54817,201.528,201.54455,201.54622,201.54401,201.57757,201.50507,201.58477,201.55487,201.51115,201.60835,201.47371,201.55349,201.44598,201.93514,
201.55471,201.56245,201.51937,201.59086,201.54223,201.56299,201.57192,201.5215,201.56271,201.54843,201.57779,201.55177,201.53809,201.54324,201.58506,201.53865,201.58093,201.52067,201.54272,201.5234,201.54779,201.54052,201.51772,201.91488,
