0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
202.38807,202.37513,202.35544,202.32766,202.36103,202.40175,202.37847,202.32452,202.31481,202.33795,202.32606,202.36118,202.32787,202.28707,202.31628,202.32681,202.29331,202.34279,202.37729,202.39751,202.33971,202.34385,202.37971,202.38987
202.29567,202.34313,202.3755,202.40129,202.35412,202.33361,202.36291,202.40546,202.38396,202.28598,202.34309,202.27388,202.30856,202.33228,202.3268,202.3223,202.39068,202.39105,202.3711,202.32116,202.40374,202.42242,202.37267,202.32455
202.46455,202.38628,202.41366,202.37103,202.39166,202.40962,202.36549,202.3287,202.37854,202.42681,202.38443,202.40886,202.39499,202.41588,202.40809,202.39943,202.3511,202.31717,202.36721,202.41705,202.398,202.39473,202.37732,202.32258
202.38955,202.43364,202.40894,202.44087,202.39137,202.40233,202.43102,202.47054,202.41375,202.39967,202.36851,202.39199,202.37935,202.34391,202.37026,202.39175,202.43833,202.43531,202.43115,202.39106,202.36315,202.39584,202.44217,202.4454
202.44744,202.47068,202.42284,202.43475,202.47319,202.43833,202.41231,202.3695,202.39338,202.41187,202.47387,202.43993,202.44493,202.4794,202.45006,202.38704,202.39313,202.40116,202.4045,202.44392,202.44438,202.42296,202.40424,202.44341
202.4457,202.45698,202.49669,202.47634,202.44404,202.45315,202.45326,202.48897,202.49385,202.48342,202.44825,202.47871,202.48586,202.47217,202.46976,202.48092,202.46237,202.44353,202.42484,202.39653,202.44565,202.47498,202.4763,202.48361
202.54088,202.52637,202.47558,202.41958,202.48639,202.50089,202.51042,202.49631,202.47892,202.47666,202.51134,202.48002,202.49485,202.44524,202.47087,202.49924,202.4694,202.48713,202.47459,202.48441,202.47193,202.45166,202.47836,202.47302
202.53616,202.48945,202.51547,202.56685,202.53404,202.53078,202.53549,202.53361,202.53378,202.51196,202.47586,202.50284,202.46657,202.51182,202.48215,202.47641,202.49542,202.51699,202.51796,202.52264,202.47153,202.47829,202.46527,202.45946
202.53076,202.54467,202.5579,202.57067,202.55183,202.51926,202.52095,202.51329,202.49753,202.5381,202.52995,202.51265,202.54798,202.53392,202.51164,202.53185,202.50382,202.50056,202.51059,202.49903,202.54308,202.53096,202.53588,202.51977
202.34638,202.59296,202.57725,202.56368,202.56019,202.57834,202.56008,202.57445,202.58471,202.55812,202.56138,202.57162,202.53289,202.54246,202.56154,202.53938,202.55484,202.53746,202.52541,202.5312,202.53651,202.51072,202.51597,202.53293
202.83864,202.60313,202.598,202.58797,202.61778,202.59178,202.59932,202.57906,202.59272,202.61193,202.6054,202.6073,202.60038,202.58875,202.58707,202.60206,202.56132,202.58499,202.5696,202.55678,202.54609,202.58485,202.5638,202.5464
202.58938,202.62342,202.62947,202.62399,202.59288,202.62804,202.63216,202.64366,202.64508,202.61713,202.6314,202.6273,202.63092,202.62069,202.58988,202.57972,202.62176,202.57329,202.5791,202.58851,202.55711,202.54279,202.54195,202.56619
202.67195,202.60589,202.62085,202.62861,202.64922,202.63183,202.62453,202.63671,202.62233,202.66093,202.66677,202.59846,202.62145,202.63406,202.64678,202.61074,202.60366,202.62888,202.60794,202.5899,202.5924,202.58321,202.60569,202.60243
202.64677,202.70777,202.66968,202.68376,202.64637,202.65441,202.66371,202.65931,202.66689,202.63304,202.6278,202.68426,202.65946,202.65475,202.63393,202.65583,202.6339,202.6236,202.61715,202.62261,202.64503,202.6631,202.6461,202.61617
202.68262,202.68782,202.71176,202.71669,202.7205,202.70465,202.70658,202.68689,202.66885,202.69835,202.67745,202.68276,202.69067,202.6651,202.679,202.665,202.66072,202.65539,202.66129,202.69031,202.68857,202.6593,202.63205,202.64047
202.7513,202.68496,202.68867,202.69432,202.71129,202.72175,202.71462,202.71629,202.69928,202.69267,202.70758,202.69213,202.66812,202.68432,202.67666,202.67507,202.67576,202.68715,202.70469,202.66625,202.63285,202.63522,202.67142,202.66125
202.73046,202.7726,202.74532,202.69814,202.71083,202.74365,202.73771,202.75251,202.75092,202.72016,202.70701,202.70371,202.72799,202.69543,202.70789,202.71289,202.71211,202.71763,202.68753,202.69195,202.68827,202.69553,202.68717,202.70136
202.72996,202.73648,202.79488,202.78644,202.76448,202.69782,202.71775,202.75398,202.77912,202.77375,202.76916,202.76797,202.74325,202.78359,202.76132,202.75053,202.73157,202.69834,202.70239,202.68758,202.72187,202.75309,202.69692,202.72094
202.7996,202.79922,202.74029,202.74648,202.77589,202.80769,202.76852,202.72385,202.69891,202.72288,202.73693,202.76332,202.77648,202.73472,202.73475,202.68395,202.71255,202.72501,202.74577,202.75623,202.72055,202.68402,202.70431,202.76603
202.77352,202.75233,202.79401,202.83542,202.75714,202.75436,202.77367,202.79986,202.79777,202.7857,202.7521,202.73878,202.73466,202.72617,202.72774,202.75857,202.77044,202.74973,202.68677,202.67796,202.72289,202.73457,202.72634,202.70328
