0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
200.64953,200.62901,200.62811,200.60715,200.54404,200.53624,200.51137,200.46992,200.42959,200.43487,200.44762,200.4218,200.39365,200.3711,200.36625,200.33677,200.34916,200.34625,200.34894,200.29527,200.25064,200.2551,200.27929,200.22899
200.66858,200.67206,200.58061,200.57273,200.56413,200.51723,200.51595,200.51978,200.47315,200.39788,200.35588,200.34365,200.33309,200.31757,200.30264,200.29645,200.27925,200.28234,200.28597,200.312,200.33513,200.25574,200.23554,200.30489
200.5655,200.56945,200.59865,200.55887,200.53381,200.51059,200.47966,200.43071,200.416,200.41703,200.39641,200.37694,200.35376,200.37873,200.32916,200.3359,200.33579,200.28523,200.26569,200.23598,200.27394,200.28471,200.29106,200.25642
200.67905,200.66305,200.61356,200.61317,200.604,200.58251,200.5128,200.49503,200.46833,200.47192,200.44804,200.41717,200.39949,200.36827,200.36697,200.32588,200.29917,200.30855,200.29525,200.30177,200.27502,200.23376,200.21906,200.21651
200.70541,200.63838,200.63801,200.62152,200.55416,200.53276,200.5204,200.5129,200.50108,200.48123,200.44139,200.43305,200.43079,200.38511,200.37637,200.35238,200.32484,200.34091,200.30487,200.31782,200.25399,200.30589,200.29899,200.25917
200.70826,200.69576,200.66723,200.59916,200.59895,200.58101,200.57332,200.55597,200.52715,200.49428,200.49562,200.45466,200.42084,200.38169,200.3735,200.36146,200.34312,200.32558,200.3384,200.26986,200.30688,200.28424,200.27235,200.24133
200.70456,200.68614,200.64095,200.65494,200.63444,200.5833,200.5715,200.55476,200.51327,200.50707,200.49783,200.48473,200.44604,200.44772,200.41263,200.39989,200.36147,200.32152,200.29959,200.33117,200.27243,200.26734,200.25034,200.27789
200.72958,200.69205,200.69115,200.67098,200.65908,200.65527,200.63093,200.60064,200.58679,200.56135,200.52664,200.50823,200.46634,200.47651,200.43948,200.40615,200.41622,200.39138,200.36491,200.30739,200.32221,200.27881,200.29384,200.30277
200.75869,200.73896,200.72552,200.68902,200.67655,200.64993,200.65171,200.6057,200.59882,200.57482,200.52766,200.5292,200.53526,200.48319,200.49376,200.4519,200.39147,200.39023,200.36199,200.36434,200.32195,200.33808,200.29337,200.25481
200.74771,200.77543,200.73176,200.74596,200.6823,200.67877,200.6312,200.64941,200.61227,200.57076,200.57627,200.55535,200.52303,200.50885,200.45688,200.4453,200.45726,200.39943,200.3541,200.34228,200.32814,200.28468,200.29615,200.28399
200.75985,200.71722,200.71869,200.68585,200.69793,200.69166,200.66806,200.64453,200.64938,200.64184,200.61633,200.57783,200.58171,200.53153,200.50479,200.46288,200.43018,200.41554,200.3867,200.35221,200.32827,200.32696,200.27,200.25276
200.82723,200.77558,200.751,200.73028,200.6987,200.70023,200.68506,200.66624,200.64362,200.62529,200.64665,200.63063,200.55956,200.54442,200.53496,200.52017,200.46578,200.44559,200.44105,200.38037,200.35228,200.31311,200.32415,200.26341
200.809,200.82676,200.79379,200.75412,200.75416,200.69446,200.71421,200.68509,200.66403,200.67252,200.62299,200.59846,200.61483,200.58967,200.53821,200.49542,200.4998,200.45646,200.42356,200.40454,200.36713,200.34629,200.30265,200.31188
200.8194,200.80786,200.80789,200.76586,200.75323,200.73096,200.69519,200.68349,200.66543,200.61308,200.63547,200.60751,200.54963,200.52988,200.50578,200.51048,200.46099,200.44587,200.40447,200.38804,200.38575,200.32707,200.2971,200.30134
200.79775,200.74923,200.76437,200.7921,200.76714,200.75627,200.7238,200.70262,200.67706,200.66388,200.61679,200.59949,200.59884,200.57737,200.54711,200.52398,200.50704,200.45347,200.44008,200.42119,200.35892,200.37302,200.35607,200.29848
200.84793,200.83924,200.76646,200.72888,200.76523,200.76541,200.74129,200.69461,200.69151,200.64998,200.63701,200.61121,200.55581,200.56468,200.54074,200.50173,200.46541,200.47983,200.43288,200.39258,200.39951,200.38002,200.35683,200.33196
200.81039,200.81226,200.78829,200.79817,200.71291,200.69339,200.71259,200.73403,200.68668,200.6639,200.60299,200.58336,200.59917,200.54284,200.53544,200.49829,200.4684,200.41705,200.40821,200.42251,200.36476,200.33664,200.31463,200.32967
200.88006,200.78757,200.78246,200.78857,200.75285,200.7152,200.65883,200.6356,200.67975,200.65786,200.6445,200.61464,200.5633,200.53964,200.5231,200.48714,200.48176,200.483,200.46774,200.38434,200.37394,200.35245,200.31755,200.32002
200.83624,200.85435,200.83507,200.7213,200.72371,200.75398,200.71805,200.65698,200.59599,200.60858,200.57917,200.5722,200.61569,200.55727,200.52028,200.53044,200.49173,200.41361,200.38019,200.38629,200.36699,200.38527,200.40406,200.4135
200.84957,200.8092,200.74577,200.79901,200.77862,200.68847,200.68276,200.71652,200.70052,200.63217,200.58786,200.5755,200.47844,200.4959,200.48619,200.42993,200.42485,200.43298,200.42883,200.43599,200.43203,200.37874,200.3656,200.39869
200.82644,200.80751,200.84294,200.73784,200.69973,200.71452,200.70068,200.63942,200.58677,200.59037,200.61362,200.58991,200.59441,200.57006,200.52132,200.52334,200.48662,200.46362,200.44918,200.40404,200.36719,200.43093,200.46809,200.42359
200.94935,200.89835,200.80204,200.80218,200.77858,200.72852,200.67983,200.66993,200.67636,200.62757,200.60328,200.52779,200.49969,200.46121,200.50408,200.47783,200.442,200.4603,200.44082,200.44196,200.5033,200.46478,200.50961,200.43698
201.01826,200.95378,200.93925,200.90435,200.7767,200.7604,200.74599,200.67365,200.63376,200.65959,200.62945,200.56506,200.58342,200.60524,200.535,200.54261,200.55932,200.50499,200.55324,200.57056,200.60481,200.62103,200.23775,200.25141
200.21651,,,,,,,,,,,,,,,,,,,,,,,
201.01826,,,,,,,,,,,,,,,,,,,,,,,
0.80175,,,,,,,,,,,,,,,,,,,,,,,
