0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
201.10923,201.12121,201.12609,201.10005,201.12266,201.11919,201.15421,201.13046,201.13672,201.14417,201.16919,201.17006,201.16815,201.13848,201.16419,201.16145,201.13803,201.15025,201.13507,201.14344,201.13882,201.12702,201.12702,
201.14164,201.12779,201.1207,201.12078,201.13227,201.12583,201.14647,201.13249,201.13737,201.15045,201.17069,201.1795,201.17258,201.15456,201.161,201.15806,201.1553,201.14291,201.1398,201.12736,201.14568,201.14565,201.14565,
201.15123,201.12494,201.11335,201.13199,201.14077,201.13188,201.14248,201.13333,201.13985,201.15953,201.1737,201.18135,201.17772,201.16645,201.16258,201.15318,201.16338,201.14476,201.14535,201.13025,201.14552,201.1497,201.1497,
201.14699,201.11947,201.11674,201.13402,201.14038,201.13268,201.14144,201.14189,201.14793,201.16587,201.17749,201.18222,201.17313,201.17844,201.16711,201.15193,201.1633,201.15399,201.14559,201.14563,201.14448,201.14181,201.14181,
201.15327,201.11447,201.12287,201.13284,201.13559,201.13444,201.14701,201.14709,201.1565,201.16651,201.18206,201.18392,201.17662,201.17681,201.17521,201.16701,201.15392,201.16042,201.14965,201.15743,201.13619,201.13179,201.13179,
201.15808,201.12559,201.1227,201.13693,201.13498,201.1358,201.14628,201.15387,201.15851,201.17304,201.1803,201.18435,201.18064,201.18158,201.17425,201.17733,201.15291,201.16182,201.15948,201.16014,201.12943,201.1333,201.1333,
201.15744,201.12591,201.12953,201.14514,201.13609,201.13986,201.1453,201.15405,201.16427,201.17199,201.1834,201.18375,201.18109,201.17969,201.17768,201.18472,201.16484,201.15941,201.16827,201.14981,201.12524,201.14816,201.14816,
201.14244,201.12898,201.12973,201.13678,201.13776,201.1361,201.12543,201.17352,201.16801,201.17764,201.18932,201.18938,201.18292,201.1822,201.18049,201.19136,201.17501,201.15907,201.1731,201.14135,201.13186,201.15837,201.15837,
201.15633,201.13764,201.141,201.14538,201.14194,201.13557,201.14041,201.16456,201.17162,201.17848,201.18251,201.19248,201.18104,201.18768,201.18528,201.19172,201.18037,201.15245,201.17606,201.13685,201.15202,201.16453,201.16453,
201.14634,201.13558,201.13272,201.14028,201.15351,201.13988,201.14975,201.15519,201.16611,201.17661,201.18948,201.18737,201.18908,201.18556,201.18648,201.18758,201.18278,201.1507,201.17854,201.14116,201.16562,201.16923,201.16923,
201.138,201.13257,201.1241,201.13822,201.14902,201.14736,201.1528,201.14347,201.16485,201.17581,201.19063,201.18234,201.19996,201.1866,201.18339,201.18023,201.18628,201.15099,201.1859,201.14515,201.1771,201.17104,201.17104,
201.13283,201.13819,201.12189,201.14423,201.14045,201.14059,201.1524,201.145,201.15748,201.17549,201.19183,201.18526,201.19856,201.18779,201.18508,201.17896,201.1867,201.15626,201.19092,201.14619,201.17781,201.17906,201.17906,
201.14375,201.14674,201.11533,201.14486,201.14644,201.13391,201.14835,201.15609,201.15942,201.16895,201.18607,201.18088,201.19596,201.18802,201.18526,201.18938,201.18796,201.15832,201.19152,201.15108,201.17323,201.19207,201.19207,
201.14877,201.1453,201.1323,201.14445,201.14554,201.13814,201.14847,201.1493,201.16363,201.16476,201.18296,201.17916,201.18939,201.18663,201.18547,201.19275,201.18523,201.16288,201.18724,201.17015,201.16809,201.19751,201.19751,
201.15146,201.13565,201.13811,201.15407,201.13832,201.14222,201.1465,201.14603,201.15858,201.16647,201.17602,201.18011,201.18627,201.18778,201.18994,201.19586,201.17357,201.17239,201.18066,201.18775,201.1783,201.19592,201.19592,
201.15559,201.12627,201.13904,201.15429,201.13782,201.13997,201.1488,201.14795,201.15792,201.1642,201.16695,201.17773,201.18246,201.1923,201.19349,201.19264,201.17391,201.17505,201.17939,201.19984,201.19636,201.19875,201.19875,
201.17315,201.13659,201.13374,201.14561,201.14553,201.14591,201.14616,201.14701,201.15359,201.15901,201.16684,201.17654,201.18184,201.19245,201.19074,201.18878,201.18694,201.18278,201.1819,201.19675,201.21297,201.21453,201.21453,
201.19219,201.15974,201.14373,201.13815,201.14247,201.14884,201.14526,201.14302,201.14988,201.1597,201.17172,201.17904,201.18797,201.18899,201.18522,201.19082,201.19822,201.17435,201.19423,201.19841,201.22404,201.22357,201.22357,
201.18202,201.16849,201.14107,201.13396,201.1496,201.14695,201.15368,201.14345,201.15263,201.16052,201.17124,201.18372,201.19367,201.18326,201.18293,201.18754,201.19917,201.18807,201.2018,201.20843,201.22571,201.22163,201.22163,
201.15998,201.15904,201.15981,201.13586,201.14185,201.14477,201.15568,201.14953,201.15136,201.15967,201.17333,201.18138,201.1928,201.17607,201.18765,201.19807,201.19614,201.20347,201.20095,201.22827,201.22918,201.21986,201.21986,
201.13584,201.12631,201.15205,201.14934,201.13206,201.15196,201.15519,201.15408,201.15135,201.15557,201.17434,201.18075,201.19485,201.18243,201.19179,201.19778,201.19481,201.21337,201.21909,201.22488,201.23188,201.22993,201.22993,
201.11065,201.08194,201.13103,201.1686,201.12124,201.16384,201.15345,201.15785,201.15198,201.14986,201.1748,201.18097,201.19837,201.19557,201.19563,201.19207,201.19432,201.22053,201.24674,201.20988,201.2342,201.24592,201.24592,
201.08547,201.03757,201.11001,201.18786,201.11042,201.17571,201.15171,201.16163,201.1526,201.14415,201.17525,201.1812,201.20189,201.20872,201.19948,201.18636,201.19384,201.22768,201.27439,201.19489,201.23651,201.2619,201.2619,
201.03757,,,,,,,,,,,,,,,,,,,,,,,
201.27439,,,,,,,,,,,,,,,,,,,,,,,
0.23682,,,,,,,,,,,,,,,,,,,,,,,
