0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
202.01586,202.01716,202.04542,202.092,202.11844,202.06652,202.05422,202.07546,202.07051,202.03775,202.04091,202.0831,202.06628,202.03011,202.0186,202.05318,202.05262,202.0505,202.02632,202.11496,202.06174,201.98639,201.99478,201.96969
202.04717,202.06377,202.10871,202.09342,202.06251,202.10091,202.05373,202.03798,202.01186,202.00832,202.04318,202.05229,202.02436,202.04698,202.03549,202.04245,202.01226,202.06284,202.10972,202.08958,202.07,202.06035,202.04883,201.99961
202.03133,202.07637,202.04733,202.09305,202.05031,202.03769,202.06136,202.05839,202.08845,202.06299,202.06015,202.04285,202.05002,202.02132,202.02529,202.04781,202.08332,202.04233,202.02201,202.0367,202.07386,202.06708,202.00367,202.00189
202.0901,202.08825,202.07318,202.0504,202.07226,202.05833,202.05524,202.04696,202.02593,202.04382,202.00508,201.99079,202.03542,202.03983,202.06013,202.00378,202.0348,202.04167,202.09248,202.05617,202.03363,202.05117,202.10192,202.11081
202.01678,202.00917,202.05178,202.02559,202.01946,202.01607,201.99826,202.02036,202.03582,202.05374,202.0589,202.06829,202.0063,202.04023,202.04412,202.04574,202.00983,202.00927,201.95149,202.01363,202.01544,202.02611,201.9948,201.9575
202.05781,202.05663,202.0506,202.02714,202.02438,202.01199,202.02948,202.19645,202.19658,202.16567,202.18993,202.21246,202.23651,202.2321,202.19357,202.21559,202.01275,202.03237,202.0395,201.98749,202.01215,202.01067,202.03776,202.03321
202.06497,202.02486,201.96967,202.02401,202.03134,202.05067,202.06105,202.13248,201.94751,201.97032,201.95363,201.96711,201.95454,201.94406,201.96859,201.94376,202.04331,202.01814,202.01057,202.0296,202.00709,201.97923,201.97808,202.00032
201.98907,202.02292,202.05801,202.01416,202.00888,202.01623,202.01237,201.90614,202.06219,202.01598,201.92059,202.09643,201.90226,201.89145,201.87808,202.09947,201.99188,202.00063,202.02866,202.01561,202.0197,202.03909,202.03034,201.9869
202.06268,202.03695,202.03099,202.0455,202.03811,202.01978,202.01355,202.00651,202.07834,202.11026,202.21762,201.81297,202.24694,202.10332,202.25603,202.02672,202.01143,202.0112,202.0142,202.00585,202.00188,202.00829,202.00865,202.05437
202.01062,201.99446,202.01019,202.00102,201.98049,202.00264,201.99762,202.0638,201.90374,201.89441,201.93686,202.14389,201.90654,202.04021,201.90325,201.87857,201.99123,201.99965,201.98504,201.97884,201.95393,201.97917,201.97439,201.95161
201.95586,201.99453,201.95454,201.97437,201.99158,201.98085,202.00748,201.91861,202.03694,201.91178,202.03823,202.02527,202.04294,201.85707,201.9568,201.88443,201.99765,201.97694,202.08597,202.07347,202.11133,202.10111,202.08944,201.97191
202.00335,201.99003,202.00924,202.00631,202.01007,202.01654,201.99402,201.88409,201.97609,202.01804,201.95562,201.96082,201.9703,202.14977,202.01234,202.11468,201.98006,201.98182,201.86516,201.88598,201.87398,201.84069,201.85799,201.97067
202.00096,202.01028,202.00684,202.00485,202.00916,202.00706,201.99656,201.99382,201.91735,201.99511,201.89313,201.88771,201.87423,201.87563,201.86449,201.87247,202.01055,201.98644,201.98318,201.9792,201.96908,202.08378,202.09664,201.97685
202.01208,202.00065,202.02091,202.02347,202.02101,202.00884,202.02007,202.02189,202.00166,202.01237,202.01113,201.98564,201.98628,201.99383,202.02482,202.00429,201.99732,202.00651,202.12687,202.08462,201.98203,201.98756,201.86,202.07918
201.92338,201.92262,201.95117,201.94471,201.97617,201.97324,201.98316,201.96639,201.98234,201.98781,201.97979,201.97646,201.98358,201.97019,201.95691,201.98103,201.95596,201.96653,201.82752,201.84592,201.93259,201.809,201.94411,201.8621
201.97086,201.99069,201.93454,201.92853,201.93045,201.9473,201.97134,201.97798,201.95677,201.95834,201.9482,201.97318,201.96843,201.9748,201.96965,201.94758,201.95523,201.93378,201.94222,201.93705,201.90561,201.91054,201.90009,201.87694
201.92605,201.94668,201.96665,201.9577,201.92564,201.90374,201.90556,201.93252,201.94014,201.95638,201.95897,201.97018,201.95978,201.95287,201.94,201.95495,201.93086,201.91568,201.88543,201.89621,201.92939,201.93602,201.90565,201.87197
201.94718,201.91997,201.90125,201.91367,201.94939,201.93864,201.91095,201.88892,201.8951,201.89673,201.92728,201.91612,201.92209,201.90996,201.89982,201.87932,201.88109,201.8838,201.91975,201.91614,201.92613,201.89227,201.8802,201.93399
201.92925,201.93237,201.93236,201.92511,201.87864,201.91693,201.91635,201.92473,201.93539,201.90573,201.87871,201.88568,201.8714,201.86845,202.00634,201.89951,201.9211,201.93258,202.03993,201.89906,201.87725,201.91602,201.88994,201.90099
201.92345,201.88726,201.89219,201.88991,201.92309,201.89109,201.88127,201.88282,201.87446,201.90855,201.91344,201.90433,201.90758,201.92742,201.75437,201.89179,201.85291,201.84987,201.73811,201.87001,201.8831,201.7218,201.86036,201.79499
201.87173,201.89074,201.89736,201.88177,201.85465,201.88612,201.90732,201.89091,201.87199,201.84729,201.84702,201.84089,201.82974,201.84298,201.87449,201.83273,201.87489,201.87965,201.84641,201.84418,201.8705,201.96162,201.65907,201.80221
201.87494,201.87306,201.86482,201.87606,201.91403,201.88864,201.85475,201.84334,201.83375,201.84715,201.867,201.8722,201.88259,201.84912,201.85107,201.83987,201.82437,201.83477,201.86882,201.79794,201.81457,201.82639,201.84532,201.79267
201.87688,201.9129,201.90212,201.89298,201.8697,201.87118,201.8354,201.86457,201.88645,201.87719,201.84075,201.85745,201.83532,201.84227,201.83995,201.85261,201.85473,201.85978,201.86573,202.26145,202.07968,201.99524,201.98444,202.0444
201.65907,,,,,,,,,,,,,,,,,,,,,,,
202.26145,,,,,,,,,,,,,,,,,,,,,,,
0.60238,,,,,,,,,,,,,,,,,,,,,,,
