0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
202.30288,202.24072,202.25377,202.46068,202.40043,202.31758,202.29432,202.29147,202.30568,202.24649,202.20678,202.17047,202.15062,202.17297,202.14251,202.03771,202.01822,202.06655,202.06094,202.1044,202.10244,202.03728,202.01437,202.04145,201.96548
202.39592,202.47455,202.45332,202.36727,202.3445,202.34804,202.29928,202.25178,202.24117,202.26159,202.24798,202.2273,202.20693,202.15476,202.14679,202.14327,202.14593,202.1052,202.08857,202.01854,201.97696,202.02261,202.03905,201.97659,201.98144
202.45454,202.30795,202.33076,202.36046,202.29898,202.28264,202.30856,202.30024,202.24765,202.20701,202.19748,202.19265,202.17984,202.16743,202.1377,202.11787,202.06942,202.04786,202.0185,202.0185,202.03331,201.99429,201.96804,201.92883,201.90586
202.37492,202.45046,202.31742,202.28283,202.32074,202.31794,202.23117,202.21176,202.23859,202.23633,202.21555,202.18793,202.16065,202.13797,202.11915,202.08564,202.07256,202.05507,202.03104,201.9977,201.94797,201.92982,201.94473,201.94948,201.88675
202.32383,202.27329,202.32873,202.33417,202.25265,202.22716,202.25631,202.26511,202.23178,202.20123,202.14069,202.14001,202.11942,202.0893,202.07637,202.01806,202.02934,202.01042,201.98301,201.98619,201.93577,201.92167,201.87969,201.8829,201.91128
202.36008,202.33873,202.26605,202.25311,202.27377,202.26955,202.24868,202.2038,202.16354,202.15173,202.18323,202.13834,202.12913,202.10435,202.06675,202.09335,202.03229,201.9864,201.95723,201.93327,201.9332,201.9328,201.89922,201.85469,201.83499
202.27929,202.24273,202.28547,202.26448,202.27116,202.2266,202.19407,202.18254,202.18891,202.16004,202.13968,202.12412,202.09604,202.07739,202.05025,202.0275,201.9944,201.97363,201.95538,201.90423,201.87877,201.84067,201.83071,201.84858,201.82419
202.28646,202.28821,202.25522,202.2348,202.18793,202.16783,202.17585,202.15744,202.13445,202.12176,202.0974,202.08746,202.08318,202.04939,202.03129,201.99373,201.9799,201.95248,201.92872,201.90276,201.86467,201.83279,201.80765,201.78523,201.76217
202.27799,202.20267,202.19279,202.15425,202.16641,202.16928,202.15213,202.12886,202.12345,202.10635,202.10763,202.07252,202.00689,202.00601,201.99911,201.94243,201.92271,201.91604,201.88948,201.88032,201.84559,201.82929,201.79298,201.75644,201.74532
202.14922,202.19298,202.17362,202.18476,202.13729,202.12964,202.11533,202.09993,202.09001,202.06214,202.03055,202.02308,202.01267,202.00774,201.9615,201.92015,201.92173,201.88981,201.85208,201.81536,201.80741,201.78891,201.79578,201.76441,201.70286
