0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
202.4701,202.455,202.40482,202.3854,202.39188,202.31701,202.35194,202.24023,202.27025,202.16153,202.16183,202.13541,202.10465,201.99298,201.92706,201.99111,201.93552,201.80618,201.854,201.71615,201.8023,201.68116,201.69025,201.64244,
202.5598,202.47717,202.4036,202.39427,202.32807,202.35224,202.30271,202.24068,202.24216,202.12417,202.18218,202.13231,202.06148,202.01148,201.93709,201.95769,201.90881,201.80969,201.79611,201.71999,201.71421,201.72536,201.6609,201.63318,
202.46548,202.43926,202.44904,202.35804,202.30422,202.34455,202.2679,202.26078,202.21667,202.11965,202.19453,202.09734,202.08881,201.97911,201.92011,201.93863,201.88859,201.80463,201.77494,201.69657,201.68525,201.68293,201.62876,201.64991,
202.57517,202.43115,202.37162,202.34367,202.29358,202.33936,202.27222,202.24443,202.20125,202.11949,202.17732,202.08689,202.05449,201.99473,201.89502,201.91978,201.86365,201.80919,201.76632,201.66169,201.68528,201.61017,201.61661,201.64635,
202.49271,202.44745,202.37248,202.31123,202.31329,202.29651,202.27545,202.22229,202.19952,202.13575,202.15503,202.08712,202.03909,201.97993,201.88725,201.90188,201.85135,201.76257,201.7608,201.63017,201.6943,201.56743,201.63202,201.5866,
202.45527,202.38069,202.3774,202.33443,202.26823,202.31675,202.24641,202.1942,202.20806,202.13574,202.14,202.07194,202.01851,201.94715,201.86943,201.89088,201.81981,201.79499,201.73939,201.6238,201.62654,201.58793,201.56522,201.56361,
202.4178,202.3406,202.37112,202.31029,202.2347,202.32986,202.20237,202.20602,202.21318,202.10649,202.12724,202.0327,202.00533,201.96962,201.8362,201.88462,201.78727,201.77825,201.71883,201.63985,201.61674,201.5732,201.48413,201.59692,
202.40589,202.32923,202.31723,202.30551,202.22845,202.30973,202.21304,202.18878,202.16009,202.11777,202.10657,202.03107,201.97753,201.94743,201.85265,201.87011,201.76968,201.72191,201.72732,201.61503,201.61653,201.5579,201.47475,201.54331,
202.3999,202.31951,202.31723,202.25977,202.24916,202.27327,202.20449,202.19992,202.14289,202.06144,202.10017,202.03201,201.97694,201.9258,201.83657,201.8207,201.78572,201.71148,201.70407,201.61503,201.59457,201.50247,201.50601,201.49142,
202.38477,202.33149,202.30543,202.26063,202.22132,202.24981,202.22586,202.14248,202.15187,202.07906,202.06279,201.99772,201.99019,201.87575,201.83094,201.83064,201.73701,201.69143,201.70465,201.58279,201.59711,201.48747,201.50072,201.47298,
202.34514,202.30214,202.3113,202.2158,202.24339,202.21335,202.21692,202.1202,202.13262,202.0352,202.04366,202.01435,201.95135,201.88764,201.81807,201.78975,201.75599,201.69293,201.62409,201.57444,201.61674,201.46968,201.48713,201.39197,
202.3097,202.32467,202.23801,202.24437,202.21738,202.21251,202.16231,202.13521,202.1294,201.96968,202.05826,201.98741,201.92782,201.88553,201.77738,201.79004,201.71585,201.71001,201.63906,201.53186,201.58597,201.47351,201.45593,201.43897,
